co2_emissions,energy_consumption,tourism_activity,impact
12.48357077,3119.484349,36.4964345,1
9.308678494,2739.706946,47.10962659,1
13.23844269,2047.704296,34.15160158,1
17.61514928,1482.450578,43.84076941,1
8.829233126,2558.578651,12.12770666,1
8.829315215,2314.788308,54.26587415,0
17.89606408,2716.154576,50.02410951,1
13.83717365,2508.137441,33.65822738,1
7.65262807,2839.642172,63.18491337,1
12.71280022,1571.811831,68.75140275,1
7.682911536,3053.915253,17.84880271,1
7.671351232,2158.079684,34.74550443,0
11.20981136,3660.208698,34.617153,1
0.5,1448.649746,31.20193798,0
1.375410837,3388.771043,66.58949684,1
7.188562354,2158.328627,46.12347722,0
4.935844398,1478.865597,44.70970317,0
11.57123666,1612.891333,10,0
5.459879622,1743.722153,62.7083606,0
2.938481493,2339.332757,25.2148321,0
17.32824384,2418.26839,51.19865261,1
8.871118498,1541.039997,55.54753876,0
10.33764102,1980.516326,77.21317192,0
2.876259069,3713.816287,23.82359202,1
7.278086377,3382.034536,10,1
10.55461295,2349.058936,53.6769909,0
4.245032113,2030.402783,86.01022363,0
11.87849009,2096.025061,74.77892706,0
6.99680655,2490.814378,54.19318831,0
8.541531251,1181.765948,40.16727629,0
6.991466939,1794.09877,66.14245193,0
19.26139092,665.1327409,30.52907601,1
9.932513876,2319.378498,59.52715539,0
4.711445355,2517.756752,60.10940318,1
14.11272456,1613.45083,71.20419815,1
3.89578175,3259.189411,105.1932008,1
11.04431798,1019.38747,57.84831934,0
0.5,828.5000958,39.82072749,0
3.359069756,2179.561455,49.48851376,0
10.98430618,2837.678642,14.6184819,1
13.6923329,3347.142153,36.10573738,1
10.85684141,1632.89259,41.81435124,0
9.421758588,2862.944667,39.51823204,1
8.494481522,1969.193224,53.04709744,0
2.607390048,1861.89816,33.55160135,0
6.400778958,2706.92795,72.42061335,1
7.696806145,2521.858303,50.0041413,1
15.28561113,738.8862744,49.81399358,1
11.71809145,3181.23228,43.44210567,1
1.184799223,3104.073083,53.10381368,1
11.62041985,1499.549839,66.50196529,0
8.074588598,2316.642827,32.65739569,0
6.615389998,2395.224149,36.83767022,0
13.05838144,2208.539013,43.92547942,1
15.15499761,1559.755877,23.08258153,1
14.6564006,1462.701306,33.61484281,1
